DeviceId,Cycle,Counter,EndOfCycle,Sensor9,Sensor11,Sensor14,Sensor15
N1172FJ-2,1,1,1,9048.49521305798,47.6290124202935,8127.91067233134,8.2332657671585
N1172FJ-1,1,1,1,9043.35372177262,47.1369259061993,8126.71445988376,8.17990143908579
N1172FJ-2,1,2,0,9052.71816833555,46.8470457503592,8123.23052632809,8.37387280454549
N1172FJ-1,1,2,0,9040.48238011606,47.7821727021101,8128.94564507941,8.26440855195816
N1172FJ-2,1,3,0,9053.00339110528,47.3061069800384,8125.71228068237,8.68102656244265
N1172FJ-1,1,3,0,9039.81017591102,46.9820002468196,8132.79133652294,8.55769032372513
N1172FJ-2,1,4,0,9047.46663289321,47.5748899710081,8127.3102621822,8.38296590482062
N1172FJ-1,1,4,0,9040.74730198937,47.4235315137471,8130.86788817534,8.617282040741
N1172FJ-2,1,5,0,9048.9660579766,47.1849012339135,8123.57398860517,8.28485661046417
N1172FJ-1,1,5,0,9036.14099555812,47.638645573663,8129.77036948706,8.51909530706891
N1172FJ-2,1,6,0,9050.30223780884,46.8566196782775,8126.40280894353,8.40898772846397
N1172FJ-1,1,6,0,9039.99170719602,47.7082544718438,8129.23054508831,8.371839542066
N1172FJ-2,1,7,1,9050.23829882255,47.0014239661098,8124.70946092731,8.4714246221046
N1172FJ-1,1,7,1,9040.87371745679,47.338469585617,8128.8097557632,8.48788279535503
N1172FJ-2,2,16,1,9054.62838742531,47.3436806418239,8140.64226445042,8.32786715055646
N1172FJ-1,2,16,1,9057.54584431382,47.740601567875,8120.72409231861,8.45568689457405
N1172FJ-2,2,17,0,9053.82851375319,47.5907106404878,8141.77251225437,8.52372456649645
N1172FJ-1,2,17,0,9053.48777966927,47.3037246143436,8119.94479442305,8.43003790113233
N1172FJ-2,2,18,0,9054.54490543087,47.7127446581013,8139.78540328748,8.58034984132536
N1172FJ-1,2,18,0,9054.21364400915,47.6307610360133,8122.93630067325,8.2671241702926
N1172FJ-2,2,19,0,9054.53883259107,47.3073363524796,8138.54410633414,8.18097608253007
N1172FJ-1,2,19,0,9053.00709252267,47.5927872077698,8120.14104138148,8.49723702542252
N1172FJ-2,2,20,0,9056.15707974864,46.7179078209794,8139.00379382497,8.50923529742429
N1172FJ-1,2,20,0,9056.22650500692,47.1591913296132,8121.19525938145,8.22907076801214
N1172FJ-2,2,21,0,9053.05719942847,47.8160988836348,8141.53718547982,8.25932609891187
N1172FJ-1,2,21,0,9055.15331183755,47.5631889291568,8121.07915292216,8.26786681995181
N1172FJ-2,2,22,0,9059.04659528124,47.7187275890492,8137.76610707309,8.37554893619989
N1172FJ-1,2,22,0,9051.75145260713,47.5660594225188,8121.24744632369,8.71946944670137
